,station_id,name,latitude,longitude
37,LF-005,"75    DuSable Lake Shore Dr & North Blvd
Name: start_station_name, dtype: object","75    41.911757
Name: start_lat, dtype: float64","75   -87.626763
Name: start_lng, dtype: float64"
38,13221,"76    Wood St & Milwaukee Ave
Name: start_station_name, dtype: object","76    41.907655
Name: start_lat, dtype: float64","76   -87.672552
Name: start_lng, dtype: float64"
39,13061,"77    Ashland Ave & Division St
Name: start_station_name, dtype: object","77    41.903337
Name: start_lat, dtype: float64","77   -87.668054
Name: start_lng, dtype: float64"
40,TA1306000012,"81    Wells St & Huron St
Name: start_station_name, dtype: object","81    41.894771
Name: start_lat, dtype: float64","81   -87.634387
Name: start_lng, dtype: float64"
41,13288,"83    Damen Ave & Charleston St
Name: start_station_name, dtype: object","83    41.920079
Name: start_lat, dtype: float64","83   -87.677931
Name: start_lng, dtype: float64"
42,TA1307000124,"84    Michigan Ave & 14th St
Name: start_station_name, dtype: object","84    41.864059
Name: start_lat, dtype: float64","84   -87.623727
Name: start_lng, dtype: float64"
43,425,"85    Rockwell St & Cermak Rd
Name: start_station_name, dtype: object","85    41.85
Name: start_lat, dtype: float64","85   -87.69
Name: start_lng, dtype: float64"
44,638,"87    Clinton St & Jackson Blvd
Name: start_station_name, dtype: object","87    41.878317
Name: start_lat, dtype: float64","87   -87.640981
Name: start_lng, dtype: float64"
45,13398,"88    Blackstone Ave & Hyde Park Blvd
Name: start_station_name, dtype: object","88    41.802562
Name: start_lat, dtype: float64","88   -87.590368
Name: start_lng, dtype: float64"
46,13319,"89    Ashland Ave & Grace St
Name: start_station_name, dtype: object","89    41.950647
Name: start_lat, dtype: float64","89   -87.668672
Name: start_lng, dtype: float64"
47,15542,"92    Clinton St & Polk St
Name: start_station_name, dtype: object","92    41.871467
Name: start_lat, dtype: float64","92   -87.640949
Name: start_lng, dtype: float64"
48,E002,"93    Chicago Ave & Washington St
Name: start_station_name, dtype: object","93    42.032562
Name: start_lat, dtype: float64","93   -87.679101
Name: start_lng, dtype: float64"
49,TA1309000042,"96    Lincoln Ave & Belmont Ave
Name: start_station_name, dtype: object","96    41.939537
Name: start_lat, dtype: float64","96   -87.668308
Name: start_lng, dtype: float64"
50,TA1307000052,"98    Sheffield Ave & Wellington Ave
Name: start_station_name, dtype: object","98    41.936253
Name: start_lat, dtype: float64","98   -87.652662
Name: start_lng, dtype: float64"
51,TA1307000131,"101    Wabash Ave & Wacker Pl
Name: start_station_name, dtype: object","101    41.886875
Name: start_lat, dtype: float64","101   -87.62603
Name: start_lng, dtype: float64"
52,13008,"102    Millennium Park
Name: start_station_name, dtype: object","102    41.881032
Name: start_lat, dtype: float64","102   -87.624084
Name: start_lng, dtype: float64"
53,TA1309000026,"103    Lincoln Ave & Belle Plaine Ave
Name: start_station_name, dtype: object","103    41.956054
Name: start_lat, dtype: float64","103   -87.680289
Name: start_lng, dtype: float64"
54,13196,"109    Carpenter St & Huron St
Name: start_station_name, dtype: object","109    41.89451
Name: start_lat, dtype: float64","109   -87.653453
Name: start_lng, dtype: float64"
55,TA1309000025,"110    Halsted St & Roscoe St
Name: start_station_name, dtype: object","110    41.94367
Name: start_lat, dtype: float64","110   -87.64895
Name: start_lng, dtype: float64"
56,TA1307000117,"111    Wabash Ave & Grand Ave
Name: start_station_name, dtype: object","111    41.891466
Name: start_lat, dtype: float64","111   -87.626761
Name: start_lng, dtype: float64"
57,TA1305000003,"112    Fairbanks Ct & Grand Ave
Name: start_station_name, dtype: object","112    41.891847
Name: start_lat, dtype: float64","112   -87.62058
Name: start_lng, dtype: float64"
58,TA1308000009,"119    Shore Dr & 55th St
Name: start_station_name, dtype: object","119    41.795212
Name: start_lat, dtype: float64","119   -87.580715
Name: start_lng, dtype: float64"
59,13432,"121    Wood St & Hubbard St
Name: start_station_name, dtype: object","121    41.889882
Name: start_lat, dtype: float64","121   -87.671574
Name: start_lng, dtype: float64"
60,18062,"126    Aberdeen St & Randolph St
Name: start_station_name, dtype: object","126    41.884114
Name: start_lat, dtype: float64","126   -87.654264
Name: start_lng, dtype: float64"
61,RN-,"127    Franklin St & Illinois St
Name: start_station_name, dtype: object","127    41.891051
Name: start_lat, dtype: float64","127   -87.635492
Name: start_lng, dtype: float64"
62,KA1503000019,"129    Stony Island Ave & 75th St
Name: start_station_name, dtype: object","129    41.75867
Name: start_lat, dtype: float64","129   -87.586883
Name: start_lng, dtype: float64"
63,20257.0,"130    N Southport Ave & W Newport Ave
Name: start_station_name, dtype: object","130    41.94
Name: start_lat, dtype: float64","130   -87.66
Name: start_lng, dtype: float64"
64,TA1307000129,"132    State St & 35th St
Name: start_station_name, dtype: object","132    41.831036
Name: start_lat, dtype: float64","132   -87.626798
Name: start_lng, dtype: float64"
65,15645,"134    Richmond St & Diversey Ave
Name: start_station_name, dtype: object","134    41.931902
Name: start_lat, dtype: float64","134   -87.701195
Name: start_lng, dtype: float64"
66,13144,"135    Seeley Ave & Roscoe St
Name: start_station_name, dtype: object","135    41.94333
Name: start_lat, dtype: float64","135   -87.679675
Name: start_lng, dtype: float64"
67,TA1309000011,"136    Ellis Ave & 58th St
Name: start_station_name, dtype: object","136    41.788746
Name: start_lat, dtype: float64","136   -87.601334
Name: start_lng, dtype: float64"
68,13247,"144    Ashland Ave & Chicago Ave
Name: start_station_name, dtype: object","144    41.895974
Name: start_lat, dtype: float64","144   -87.667725
Name: start_lng, dtype: float64"
69,TA1309000027,"145    Sheridan Rd & Buena Ave
Name: start_station_name, dtype: object","145    41.958494
Name: start_lat, dtype: float64","145   -87.654966
Name: start_lng, dtype: float64"
70,TA1309000007,"146    Franklin St & Monroe St
Name: start_station_name, dtype: object","146    41.879185
Name: start_lat, dtype: float64","146   -87.635619
Name: start_lng, dtype: float64"
71,TA1308000035,"147    Lake Park Ave & 47th St
Name: start_station_name, dtype: object","147    41.809443
Name: start_lat, dtype: float64","147   -87.591875
Name: start_lng, dtype: float64"
72,TA1309000055,"148    Emerald Ave & 31st St
Name: start_station_name, dtype: object","148    41.838198
Name: start_lat, dtype: float64","148   -87.645143
Name: start_lng, dtype: float64"
73,TA1307000136,"155    Clark St & Wellington Ave
Name: start_station_name, dtype: object","155    41.936497
Name: start_lat, dtype: float64","155   -87.647539
Name: start_lng, dtype: float64"
74,SL-005,"157    Indiana Ave & Roosevelt Rd
Name: start_station_name, dtype: object","157    41.867888
Name: start_lat, dtype: float64","157   -87.623041
Name: start_lng, dtype: float64"
75,13253,"158    Lincoln Ave & Waveland Ave
Name: start_station_name, dtype: object","158    41.948797
Name: start_lat, dtype: float64","158   -87.675278
Name: start_lng, dtype: float64"
76,TA1305000002,"160    Wabash Ave & Roosevelt Rd
Name: start_station_name, dtype: object","160    41.867227
Name: start_lat, dtype: float64","160   -87.625961
Name: start_lng, dtype: float64"
77,624,"161    Dearborn St & Van Buren St
Name: start_station_name, dtype: object","161    41.876268
Name: start_lat, dtype: float64","161   -87.629155
Name: start_lng, dtype: float64"
78,13006,"163    LaSalle St & Washington St
Name: start_station_name, dtype: object","163    41.882664
Name: start_lat, dtype: float64","163   -87.63253
Name: start_lng, dtype: float64"
79,TA1305000029,"166    State St & Randolph St
Name: start_station_name, dtype: object","166    41.884611
Name: start_lat, dtype: float64","166   -87.628156
Name: start_lng, dtype: float64"
80,13300,"168    DuSable Lake Shore Dr & Monroe St
Name: start_station_name, dtype: object","168    41.880958
Name: start_lat, dtype: float64","168   -87.616743
Name: start_lng, dtype: float64"
81,TA1308000050,"172    Wells St & Concord Ln
Name: start_station_name, dtype: object","172    41.912133
Name: start_lat, dtype: float64","172   -87.634656
Name: start_lng, dtype: float64"
82,KA1504000147,"177    Winchester (Ravenswood) Ave & Balmoral Ave
Name: start_station_name, dtype: object","177    41.979775
Name: start_lat, dtype: float64","177   -87.677484
Name: start_lng, dtype: float64"
83,KA1504000156,"178    Clark St & Schreiber Ave
Name: start_station_name, dtype: object","178    41.999252
Name: start_lat, dtype: float64","178   -87.671377
Name: start_lng, dtype: float64"
84,15575,"180    Broadway & Thorndale Ave
Name: start_station_name, dtype: object","180    41.989743
Name: start_lat, dtype: float64","180   -87.660141
Name: start_lng, dtype: float64"
85,KA1504000076,"184    Ellis Ave & 55th St
Name: start_station_name, dtype: object","184    41.794301
Name: start_lat, dtype: float64","184   -87.60145
Name: start_lng, dtype: float64"
86,15571,"185    Broadway & Granville Ave
Name: start_station_name, dtype: object","185    41.99478
Name: start_lat, dtype: float64","185   -87.660285
Name: start_lng, dtype: float64"
87,646,"186    State St & 54th St
Name: start_station_name, dtype: object","186    41.796623
Name: start_lat, dtype: float64","186   -87.625955
Name: start_lng, dtype: float64"
88,13193,"187    Larrabee St & Webster Ave
Name: start_station_name, dtype: object","187    41.921822
Name: start_lat, dtype: float64","187   -87.64414
Name: start_lng, dtype: float64"
